Address:,USB0::0x0957::0x179B::MY59127615::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
,,,-0.0122488,0.329406891018152,-0.1639697952196,
,,,-0.0121984,0.411416923627257,-0.1639697952196,
,,,-0.012148,0.356743568554521,-0.228291395120323,
,,,-0.0120976,0.384080246090889,-0.180050195194781,
,,,-0.0120472,0.356743568554521,-0.212210995145142,
,,,-0.0119968,0.356743568554521,-0.107688395306468,
,,,-0.0119464,0.411416923627257,-0.14788939524442,
,,,-0.011896,0.411416923627257,-0.131808995269239,
,,,-0.0118456,0.329406891018152,-0.139849195256829,
,,,-0.0117952,0.356743568554521,-0.1639697952196,
,,,-0.0117448,0.356743568554521,-0.123768795281649,
,,,-0.0116944,0.411416923627257,-0.131808995269239,
,,,-0.011644,0.329406891018152,-0.15592959523201,
,,,-0.0115936,0.302070213481784,-0.0996481953188777,
,,,-0.0115432,0.329406891018152,-0.0835677953436971,
,,,-0.0114928,0.302070213481784,-0.115728595294058,
,,,-0.0114424,0.329406891018152,-0.14788939524442,
,,,-0.011392,0.274733535945416,-0.0996481953188777,
,,,-0.0113416,0.302070213481784,-0.1639697952196,
,,,-0.0112912,0.274733535945416,-0.1639697952196,
,,,-0.0112408,0.302070213481784,-0.123768795281649,
,,,-0.0111904,0.302070213481784,-0.115728595294058,
,,,-0.01114,0.247396858409047,-0.0835677953436971,
,,,-0.0110896,0.302070213481784,-0.139849195256829,
,,,-0.0110392,0.274733535945416,-0.107688395306468,
,,,-0.0109888,0.220060180872679,-0.139849195256829,
,,,-0.0109384,0.247396858409047,-0.0916079953312874,
,,,-0.010888,0.247396858409047,-0.131808995269239,
,,,-0.0108376,0.220060180872679,-0.0755275953561068,
,,,-0.0107872,0.19272350333631,-0.115728595294058,
,,,-0.0107368,0.165386825799942,-0.0594471953809261,
,,,-0.0106864,0.220060180872679,-0.0433667954057455,
,,,-0.010636,0.19272350333631,-0.107688395306468,
,,,-0.0105856,0.220060180872679,-0.0835677953436971,
,,,-0.0105352,0.138050148263574,-0.115728595294058,
,,,-0.0104848,0.220060180872679,-0.0594471953809261,
,,,-0.0104344,0.110713470727205,-0.0353265954181552,
,,,-0.010384,0.165386825799942,-0.115728595294058,
,,,-0.0103336,0.165386825799942,-0.0916079953312874,
,,,-0.0102832,0.110713470727205,-0.0835677953436971,
,,,-0.0102328,0.138050148263574,-0.0272863954305649,
,,,-0.0101824,0.0833767931908369,-0.0192461954429746,
,,,-0.010132,0.0560401156544685,-0.0353265954181552,
,,,-0.0100816,0.0833767931908369,-0.0674873953685164,
,,,-0.0100312,0.0560401156544685,-0.0996481953188777,
,,,-0.0099808,0.0833767931908369,-0.0835677953436971,
,,,-0.0099304,0.0833767931908369,-0.0433667954057455,
,,,-0.00988,0.0833767931908369,-0.0594471953809261,
,,,-0.0098296,0.0833767931908369,-0.0272863954305649,
,,,-0.0097792,0.110713470727205,-0.0594471953809261,
,,,-0.0097288,0.0287034381181002,-0.0755275953561068,
,,,-0.0096784,0.0560401156544685,-0.0594471953809261,
,,,-0.009628,0.0287034381181002,-0.0112059954553843,
,,,-0.0095776,0.0560401156544685,-0.0674873953685164,
,,,-0.0095272,0.0560401156544685,-0.0272863954305649,
,,,-0.0094768,0.0013667605817318,-0.0433667954057455,
,,,-0.0094264,0.0560401156544685,-0.0835677953436971,
,,,-0.009376,-0.0259699169546366,-0.0112059954553843,
,,,-0.0093256,0.0560401156544685,-0.0835677953436971,
,,,-0.0092752,-0.0259699169546366,-0.0755275953561068,
,,,-0.0092248,0.0013667605817318,-0.0514069953933358,
,,,-0.0091744,-0.0533065944910049,-0.0674873953685164,
,,,-0.009124,0.0013667605817318,-0.0674873953685164,
,,,-0.0090736,-0.0259699169546366,-0.0272863954305649,
,,,-0.0090232,0.0287034381181002,-0.0514069953933358,
,,,-0.0089728,-0.0806432720273733,-0.0674873953685164,
,,,-0.0089224,-0.0259699169546366,-0.0272863954305649,
,,,-0.008872,-0.0806432720273733,0.0370352044701576,
,,,-0.0088216,-0.0806432720273733,0.00487440451979637,
,,,-0.0087712,-0.0806432720273733,-0.0916079953312874,
,,,-0.0087208,-0.107979949563742,-0.0272863954305649,
,,,-0.0086704,-0.0259699169546366,-0.0594471953809261,
,,,-0.00862,-0.0533065944910049,-0.0755275953561068,
,,,-0.0085696,-0.13531662710011,-0.0755275953561068,
,,,-0.0085192,-0.0806432720273733,-0.0192461954429746,
,,,-0.0084688,-0.107979949563742,-0.0272863954305649,
,,,-0.0084184,-0.107979949563742,-0.0433667954057455,
,,,-0.008368,-0.107979949563742,-0.0594471953809261,
,,,-0.0083176,-0.107979949563742,-0.0433667954057455,
,,,-0.0082672,-0.107979949563742,-0.0755275953561068,
,,,-0.0082168,-0.13531662710011,-0.0514069953933358,
,,,-0.0081664,-0.13531662710011,-0.0433667954057455,
,,,-0.008116,-0.162653304636478,-0.0674873953685164,
,,,-0.0080656,-0.162653304636478,-0.0112059954553843,
,,,-0.0080152,-0.13531662710011,-0.0433667954057455,
,,,-0.0079648,-0.189989982172847,-0.0755275953561068,
,,,-0.0079144,-0.162653304636478,-0.0433667954057455,
,,,-0.007864,-0.189989982172847,0.020954804494977,
,,,-0.0078136,-0.162653304636478,-0.0112059954553843,
,,,-0.0077632,-0.189989982172847,-0.0272863954305649,
,,,-0.0077128,-0.217326659709215,-0.0353265954181552,
,,,-0.0076624,-0.217326659709215,-0.0674873953685164,
,,,-0.007612,-0.217326659709215,0.020954804494977,
,,,-0.0075616,-0.189989982172847,-0.0594471953809261,
,,,-0.0075112,-0.189989982172847,-0.00316579546779394,
,,,-0.0074608,-0.189989982172847,0.00487440451979637,
,,,-0.0074104,-0.272000014781952,-0.00316579546779394,
,,,-0.00736,-0.272000014781952,-0.0272863954305649,
,,,-0.0073096,-0.272000014781952,-0.0514069953933358,
,,,-0.0072592,-0.29933669231832,0.020954804494977,
,,,-0.0072088,-0.272000014781952,0.00487440451979637,
,,,-0.0071584,-0.272000014781952,-0.0514069953933358,
,,,-0.007108,-0.29933669231832,-0.0192461954429746,
,,,-0.0070576,-0.244663337245584,-0.0192461954429746,
,,,-0.0070072,-0.272000014781952,-0.0674873953685164,
,,,-0.0069568,-0.272000014781952,0.00487440451979637,
,,,-0.0069064,-0.326673369854689,0.0370352044701576,
,,,-0.006856,-0.29933669231832,-0.0272863954305649,
,,,-0.0068056,-0.29933669231832,0.0611558044329286,
,,,-0.0067552,-0.326673369854689,0.00487440451979637,
,,,-0.0067048,-0.326673369854689,0.0129146045073867,
,,,-0.0066544,-0.354010047391057,0.0531156044453382,
,,,-0.006604,-0.354010047391057,0.020954804494977,
,,,-0.0065536,-0.326673369854689,0.0611558044329286,
,,,-0.0065032,-0.354010047391057,0.020954804494977,
,,,-0.0064528,-0.354010047391057,-0.0514069953933358,
,,,-0.0064024,-0.326673369854689,0.020954804494977,
,,,-0.006352,-0.408683402463794,0.00487440451979637,
,,,-0.0063016,-0.354010047391057,0.00487440451979637,
,,,-0.0062512,-0.354010047391057,0.020954804494977,
,,,-0.0062008,-0.408683402463794,0.020954804494977,
,,,-0.0061504,-0.381346724927425,-0.00316579546779394,
,,,-0.0061,-0.381346724927425,0.020954804494977,
,,,-0.0060496,-0.381346724927425,0.0370352044701576,
,,,-0.0059992,-0.408683402463794,-0.0272863954305649,
,,,-0.0059488,-0.408683402463794,0.0370352044701576,
,,,-0.0058984,-0.381346724927425,0.0531156044453382,
,,,-0.005848,-0.408683402463794,0.0611558044329286,
,,,-0.0057976,-0.436020080000162,-0.0112059954553843,
,,,-0.0057472,-0.436020080000162,0.00487440451979637,
,,,-0.0056968,-0.408683402463794,-0.0192461954429746,
,,,-0.0056464,-0.408683402463794,-0.0433667954057455,
,,,-0.005596,-0.436020080000162,0.0370352044701576,
,,,-0.0055456,-0.436020080000162,-0.0192461954429746,
,,,-0.0054952,-0.46335675753653,0.0370352044701576,
,,,-0.0054448,-0.436020080000162,0.0289950044825673,
,,,-0.0053944,-0.46335675753653,0.020954804494977,
,,,-0.005344,-0.490693435072899,0.0531156044453382,
,,,-0.0052936,-0.46335675753653,0.0611558044329286,
,,,-0.0052432,-0.46335675753653,0.0691960044205189,
,,,-0.0051928,-0.436020080000162,0.00487440451979637,
,,,-0.0051424,-0.436020080000162,0.0772362044081092,
,,,-0.005092,-0.490693435072899,0.0370352044701576,
,,,-0.0050416,-0.490693435072899,0.0852764043956995,
,,,-0.0049912,-0.46335675753653,0.181758804246783,
,,,-0.0049408,-0.436020080000162,0.213919604197145,
,,,-0.0048904,-0.490693435072899,0.189799004234374,
,,,-0.00484,-0.46335675753653,0.262160804122686,
,,,-0.0047896,-0.490693435072899,0.189799004234374,
,,,-0.0047392,-0.46335675753653,0.254120604135096,
,,,-0.0046888,-0.46335675753653,0.286281404085457,
,,,-0.0046384,-0.490693435072899,0.286281404085457,
,,,-0.004588,-0.46335675753653,0.302361804060638,
,,,-0.0045376,-0.408683402463794,0.205879404209554,
,,,-0.0044872,-0.436020080000162,0.254120604135096,
,,,-0.0044368,-0.436020080000162,0.294321604073048,
,,,-0.0043864,-0.408683402463794,0.262160804122686,
,,,-0.004336,-0.408683402463794,0.197839204221964,
,,,-0.0042856,-0.46335675753653,0.246080404147506,
,,,-0.0042352,-0.46335675753653,0.133517604321241,
,,,-0.0041848,-0.408683402463794,0.213919604197145,
,,,-0.0041344,-0.46335675753653,0.10939700435847,
,,,-0.004084,-0.46335675753653,0.0691960044205189,
,,,-0.0040336,-0.46335675753653,0.141557804308832,
,,,-0.0039832,-0.436020080000162,0.10135680437088,
,,,-0.0039328,-0.46335675753653,0.0289950044825673,
,,,-0.0038824,-0.46335675753653,0.0531156044453382,
,,,-0.003832,-0.46335675753653,0.0450754044577479,
,,,-0.0037816,-0.436020080000162,-0.00316579546779394,
,,,-0.0037312,-0.46335675753653,0.0531156044453382,
,,,-0.0036808,-0.436020080000162,0.0129146045073867,
,,,-0.0036304,-0.436020080000162,0.00487440451979637,
,,,-0.00358,-0.408683402463794,0.0289950044825673,
,,,-0.0035296,-0.518030112609267,-0.0112059954553843,
,,,-0.0034792,-0.490693435072899,-0.0272863954305649,
,,,-0.0034288,-0.436020080000162,-0.0755275953561068,
,,,-0.0033784,-0.408683402463794,-0.0514069953933358,
,,,-0.003328,-0.46335675753653,-0.0594471953809261,
,,,-0.0032776,-0.46335675753653,-0.107688395306468,
,,,-0.0032272,-0.408683402463794,-0.107688395306468,
,,,-0.0031768,-0.436020080000162,-0.107688395306468,
,,,-0.0031264,-0.408683402463794,-0.0916079953312874,
,,,-0.003076,-0.46335675753653,-0.1639697952196,
,,,-0.0030256,-0.436020080000162,-0.0755275953561068,
,,,-0.0029752,-0.436020080000162,-0.131808995269239,
,,,-0.0029248,-0.408683402463794,-0.0433667954057455,
,,,-0.0028744,-0.436020080000162,-0.123768795281649,
,,,-0.002824,-0.408683402463794,-0.115728595294058,
,,,-0.0027736,-0.436020080000162,-0.0755275953561068,
,,,-0.0027232,-0.408683402463794,-0.139849195256829,
,,,-0.0026728,-0.408683402463794,-0.131808995269239,
,,,-0.0026224,-0.46335675753653,-0.0835677953436971,
,,,-0.002572,-0.436020080000162,-0.0996481953188777,
,,,-0.0025216,-0.408683402463794,-0.0996481953188777,
,,,-0.0024712,-0.408683402463794,-0.139849195256829,
,,,-0.0024208,-0.436020080000162,-0.1639697952196,
,,,-0.0023704,-0.408683402463794,-0.107688395306468,
,,,-0.00232,-0.381346724927425,-0.0916079953312874,
,,,-0.0022696,-0.408683402463794,-0.1639697952196,
,,,-0.0022192,-0.381346724927425,-0.0835677953436971,
,,,-0.0021688,-0.408683402463794,-0.14788939524442,
,,,-0.0021184,-0.381346724927425,-0.0755275953561068,
,,,-0.002068,-0.408683402463794,-0.0916079953312874,
,,,-0.0020176,-0.381346724927425,-0.0916079953312874,
,,,-0.0019672,-0.354010047391057,-0.1639697952196,
,,,-0.0019168,-0.381346724927425,-0.115728595294058,
,,,-0.0018664,-0.408683402463794,-0.14788939524442,
,,,-0.001816,-0.354010047391057,-0.107688395306468,
,,,-0.0017656,-0.354010047391057,-0.107688395306468,
,,,-0.0017152,-0.354010047391057,-0.0674873953685164,
,,,-0.0016648,-0.381346724927425,-0.0433667954057455,
,,,-0.0016144,-0.326673369854689,-0.123768795281649,
