Address:,USB0::0x0957::0x179B::MY59127615::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
,,,-0.0182464,0.110713470727205,-0.0755275953561068,
,,,-0.018196,0.165386825799942,-0.0594471953809261,
,,,-0.0181456,0.110713470727205,-0.0112059954553843,
,,,-0.0180952,0.110713470727205,-0.0594471953809261,
,,,-0.0180448,0.110713470727205,-0.0755275953561068,
,,,-0.0179944,0.165386825799942,-0.00316579546779394,
,,,-0.017944,0.165386825799942,-0.0192461954429746,
,,,-0.0178936,0.165386825799942,-0.0835677953436971,
,,,-0.0178432,0.165386825799942,-0.0433667954057455,
,,,-0.0177928,0.165386825799942,-0.0272863954305649,
,,,-0.0177424,0.165386825799942,-0.0353265954181552,
,,,-0.017692,0.19272350333631,-0.0433667954057455,
,,,-0.0176416,0.165386825799942,-0.0433667954057455,
,,,-0.0175912,0.19272350333631,-0.0755275953561068,
,,,-0.0175408,0.19272350333631,0.0370352044701576,
,,,-0.0174904,0.220060180872679,-0.0353265954181552,
,,,-0.01744,0.19272350333631,-0.00316579546779394,
,,,-0.0173896,0.220060180872679,-0.0433667954057455,
,,,-0.0173392,0.220060180872679,-0.0353265954181552,
,,,-0.0172888,0.220060180872679,-0.0272863954305649,
,,,-0.0172384,0.220060180872679,-0.0514069953933358,
,,,-0.017188,0.274733535945416,-0.0192461954429746,
,,,-0.0171376,0.247396858409047,-0.0594471953809261,
,,,-0.0170872,0.274733535945416,0.00487440451979637,
,,,-0.0170368,0.247396858409047,0.0450754044577479,
,,,-0.0169864,0.247396858409047,0.00487440451979637,
,,,-0.016936,0.302070213481784,0.0129146045073867,
,,,-0.0168856,0.274733535945416,-0.00316579546779394,
,,,-0.0168352,0.329406891018152,-0.0272863954305649,
,,,-0.0167848,0.302070213481784,0.0370352044701576,
,,,-0.0167344,0.302070213481784,-0.0433667954057455,
,,,-0.016684,0.247396858409047,0.0289950044825673,
,,,-0.0166336,0.302070213481784,0.0129146045073867,
,,,-0.0165832,0.302070213481784,0.0691960044205189,
,,,-0.0165328,0.274733535945416,0.0370352044701576,
,,,-0.0164824,0.329406891018152,0.0289950044825673,
,,,-0.016432,0.329406891018152,0.0450754044577479,
,,,-0.0163816,0.329406891018152,0.0370352044701576,
,,,-0.0163312,0.329406891018152,0.0852764043956995,
,,,-0.0162808,0.384080246090889,0.0450754044577479,
,,,-0.0162304,0.384080246090889,-0.0353265954181552,
,,,-0.01618,0.356743568554521,0.020954804494977,
,,,-0.0161296,0.329406891018152,0.0370352044701576,
,,,-0.0160792,0.356743568554521,-0.0433667954057455,
,,,-0.0160288,0.356743568554521,0.0531156044453382,
,,,-0.0159784,0.384080246090889,-0.0353265954181552,
,,,-0.015928,0.411416923627257,0.0691960044205189,
,,,-0.0158776,0.356743568554521,0.0129146045073867,
,,,-0.0158272,0.384080246090889,0.0852764043956995,
,,,-0.0157768,0.411416923627257,-0.0192461954429746,
,,,-0.0157264,0.384080246090889,-0.00316579546779394,
,,,-0.015676,0.384080246090889,0.00487440451979637,
,,,-0.0156256,0.411416923627257,-0.0112059954553843,
,,,-0.0155752,0.438753601163626,0.0370352044701576,
,,,-0.0155248,0.466090278699994,0.0611558044329286,
,,,-0.0154744,0.411416923627257,0.0450754044577479,
,,,-0.015424,0.411416923627257,0.0531156044453382,
,,,-0.0153736,0.466090278699994,0.133517604321241,
,,,-0.0153232,0.356743568554521,0.157638204284012,
,,,-0.0152728,0.438753601163626,0.157638204284012,
,,,-0.0152224,0.438753601163626,0.230000004172325,
,,,-0.015172,0.466090278699994,0.310402004048228,
,,,-0.0151216,0.438753601163626,0.302361804060638,
,,,-0.0150712,0.466090278699994,0.382763803936541,
,,,-0.0150208,0.438753601163626,0.422964803874493,
,,,-0.0149704,0.356743568554521,0.527487403713167,
,,,-0.01492,0.384080246090889,0.543567803688347,
,,,-0.0148696,0.493426956236362,0.656130603514612,
,,,-0.0148192,0.438753601163626,0.656130603514612,
,,,-0.0147688,0.493426956236362,0.696331603452563,
,,,-0.0147184,0.466090278699994,0.583768803626299,
,,,-0.014668,0.438753601163626,0.656130603514612,
,,,-0.0146176,0.466090278699994,0.664170803502202,
,,,-0.0145672,0.438753601163626,0.664170803502202,
,,,-0.0145168,0.438753601163626,0.62396980356425,
,,,-0.0144664,0.493426956236362,0.503366803750396,
,,,-0.014416,0.466090278699994,0.559648203663528,
,,,-0.0143656,0.438753601163626,0.535527603700757,
,,,-0.0143152,0.466090278699994,0.527487403713167,
,,,-0.0142648,0.466090278699994,0.471206003800035,
,,,-0.0142144,0.411416923627257,0.455125603824854,
,,,-0.014164,0.438753601163626,0.439045203849673,
,,,-0.0141136,0.466090278699994,0.406884403899312,
,,,-0.0140632,0.466090278699994,0.382763803936541,
,,,-0.0140128,0.466090278699994,0.398844203911722,
,,,-0.0139624,0.384080246090889,0.34256280399859,
,,,-0.013912,0.438753601163626,0.294321604073048,
,,,-0.0138616,0.466090278699994,0.181758804246783,
,,,-0.0138112,0.384080246090889,0.141557804308832,
,,,-0.0137608,0.411416923627257,0.205879404209554,
,,,-0.0137104,0.384080246090889,0.0611558044329286,
,,,-0.01366,0.384080246090889,0.0691960044205189,
,,,-0.0136096,0.438753601163626,0.0450754044577479,
,,,-0.0135592,0.438753601163626,-0.0594471953809261,
,,,-0.0135088,0.438753601163626,0.020954804494977,
,,,-0.0134584,0.411416923627257,-0.0514069953933358,
,,,-0.013408,0.438753601163626,-0.107688395306468,
,,,-0.0133576,0.438753601163626,-0.0916079953312874,
,,,-0.0133072,0.466090278699994,-0.123768795281649,
,,,-0.0132568,0.438753601163626,-0.14788939524442,
,,,-0.0132064,0.438753601163626,-0.172009995207191,
,,,-0.013156,0.411416923627257,-0.196130595169961,
,,,-0.0131056,0.411416923627257,-0.15592959523201,
,,,-0.0130552,0.411416923627257,-0.15592959523201,
,,,-0.0130048,0.438753601163626,-0.252411995083094,
,,,-0.0129544,0.438753601163626,-0.188090395182371,
,,,-0.012904,0.411416923627257,-0.220251195132732,
,,,-0.0128536,0.384080246090889,-0.196130595169961,
,,,-0.0128032,0.356743568554521,-0.15592959523201,
,,,-0.0127528,0.438753601163626,-0.1639697952196,
,,,-0.0127024,0.411416923627257,-0.204170795157552,
,,,-0.012652,0.411416923627257,-0.188090395182371,
,,,-0.0126016,0.384080246090889,-0.244371795095503,
,,,-0.0125512,0.384080246090889,-0.268492395058274,
,,,-0.0125008,0.384080246090889,-0.260452195070684,
,,,-0.0124504,0.384080246090889,-0.196130595169961,
,,,-0.0124,0.384080246090889,-0.268492395058274,
,,,-0.0123496,0.411416923627257,-0.220251195132732,
,,,-0.0122992,0.356743568554521,-0.180050195194781,
,,,-0.0122488,0.411416923627257,-0.236331595107913,
,,,-0.0121984,0.384080246090889,-0.204170795157552,
,,,-0.012148,0.329406891018152,-0.180050195194781,
,,,-0.0120976,0.411416923627257,-0.260452195070684,
,,,-0.0120472,0.384080246090889,-0.220251195132732,
,,,-0.0119968,0.356743568554521,-0.300653195008636,
,,,-0.0119464,0.356743568554521,-0.252411995083094,
,,,-0.011896,0.356743568554521,-0.228291395120323,
,,,-0.0118456,0.356743568554521,-0.292612995021045,
,,,-0.0117952,0.384080246090889,-0.236331595107913,
,,,-0.0117448,0.329406891018152,-0.204170795157552,
,,,-0.0116944,0.329406891018152,-0.204170795157552,
,,,-0.011644,0.356743568554521,-0.123768795281649,
,,,-0.0115936,0.329406891018152,-0.1639697952196,
,,,-0.0115432,0.329406891018152,-0.220251195132732,
,,,-0.0114928,0.302070213481784,-0.1639697952196,
,,,-0.0114424,0.274733535945416,-0.172009995207191,
,,,-0.011392,0.356743568554521,-0.115728595294058,
,,,-0.0113416,0.274733535945416,-0.212210995145142,
,,,-0.0112912,0.302070213481784,-0.131808995269239,
,,,-0.0112408,0.274733535945416,-0.172009995207191,
,,,-0.0111904,0.274733535945416,-0.1639697952196,
,,,-0.01114,0.274733535945416,-0.15592959523201,
,,,-0.0110896,0.329406891018152,-0.123768795281649,
,,,-0.0110392,0.274733535945416,-0.14788939524442,
,,,-0.0109888,0.274733535945416,-0.115728595294058,
,,,-0.0109384,0.247396858409047,-0.1639697952196,
,,,-0.010888,0.19272350333631,-0.14788939524442,
,,,-0.0108376,0.247396858409047,-0.0674873953685164,
,,,-0.0107872,0.220060180872679,-0.0996481953188777,
,,,-0.0107368,0.19272350333631,-0.123768795281649,
,,,-0.0106864,0.220060180872679,-0.115728595294058,
,,,-0.010636,0.220060180872679,-0.0996481953188777,
,,,-0.0105856,0.165386825799942,-0.115728595294058,
,,,-0.0105352,0.220060180872679,-0.123768795281649,
,,,-0.0104848,0.19272350333631,-0.0594471953809261,
,,,-0.0104344,0.19272350333631,-0.115728595294058,
,,,-0.010384,0.165386825799942,-0.14788939524442,
,,,-0.0103336,0.110713470727205,-0.107688395306468,
,,,-0.0102832,0.138050148263574,-0.0996481953188777,
,,,-0.0102328,0.138050148263574,-0.131808995269239,
,,,-0.0101824,0.0833767931908369,-0.0674873953685164,
,,,-0.010132,0.0833767931908369,-0.0916079953312874,
